,date,fremont_bridge_nb,fremont_bridge_sb,hour,count
327,2015-07-21,43,57,21,100
328,2015-07-12,59,45,10,104
329,2015-07-15,3,5,0,8
330,2015-07-18,44,44,19,88
331,2015-07-17,75,98,19,173
332,2015-07-25,13,10,6,23
333,2015-07-03,2,4,2,6
334,2015-07-02,55,52,21,107
335,2015-07-11,37,27,21,64
336,2015-07-27,2,1,2,3
337,2015-07-22,19,16,5,35
338,2015-07-01,48,61,21,109
339,2015-07-03,87,66,10,153
340,2015-07-14,7,4,4,11
341,2015-07-06,4,2,3,6
342,2015-07-11,13,54,5,67
343,2015-07-09,75,78,15,153
344,2015-07-20,1,8,0,9
345,2015-07-05,80,54,12,134
346,2015-07-19,112,80,11,192
347,2015-07-23,0,3,2,3
348,2015-07-09,112,168,19,280
349,2015-07-02,50,39,11,89
350,2015-07-03,17,23,23,40
351,2015-07-08,3,1,3,4
352,2015-07-21,174,123,9,297
354,2015-07-09,2,8,4,10
355,2015-07-27,4,0,3,4
356,2015-07-20,23,16,22,39
358,2015-07-18,67,70,17,137
359,2015-07-06,288,116,7,404
360,2015-07-01,9,4,4,13
361,2015-07-28,72,109,15,181
362,2015-07-16,42,69,13,111
363,2015-07-16,88,85,20,173
364,2015-07-14,73,115,20,188
365,2015-07-05,51,52,9,103
366,2015-07-19,9,6,5,15
367,2015-07-19,10,16,23,26
368,2015-07-20,103,59,6,162
369,2015-07-05,0,1,3,1
370,2015-07-11,66,69,11,135
371,2015-07-12,108,104,14,212
372,2015-07-04,74,101,23,175
373,2015-07-23,52,59,11,111
374,2015-07-20,52,51,13,103
375,2015-07-27,22,13,5,35
376,2015-07-04,87,71,14,158
377,2015-07-18,1,8,1,9
378,2015-07-11,62,41,18,103
379,2015-07-08,10,5,1,15
380,2015-07-05,48,39,17,87
381,2015-07-01,163,329,18,492
382,2015-07-06,180,471,17,651
383,2015-07-12,4,10,2,14
384,2015-07-08,373,210,8,583
385,2015-07-09,2,3,3,5
386,2015-07-17,47,52,12,99
388,2015-07-04,12,10,0,22
389,2015-07-07,69,96,15,165
390,2015-07-21,60,41,13,101
391,2015-07-23,61,61,13,122
392,2015-07-12,91,84,12,175
393,2015-07-15,175,113,9,288
394,2015-07-27,52,36,11,88
395,2015-07-31,115,207,18,322
397,2015-07-07,52,55,13,107
398,2015-07-02,129,232,18,361
399,2015-07-22,48,62,11,110
400,2015-07-06,60,62,14,122
401,2015-07-04,75,61,8,136
402,2015-07-26,20,18,7,38
403,2015-07-30,120,158,19,278
404,2015-07-10,89,50,6,139
405,2015-07-25,3,6,5,9
406,2015-07-25,12,15,22,27
407,2015-07-04,3,0,4,3
408,2015-07-25,9,1,2,10
409,2015-07-22,1,0,3,1
411,2015-07-23,117,58,6,175
412,2015-07-12,14,11,0,25
413,2015-07-01,212,508,17,720
414,2015-07-20,3,2,3,5
415,2015-07-02,71,108,19,179
416,2015-07-04,52,62,19,114
417,2015-07-15,9,22,23,31
418,2015-07-12,2,5,4,7
419,2015-07-15,72,104,20,176
420,2015-07-02,47,48,13,95
421,2015-07-06,47,54,13,101
423,2015-07-12,49,45,19,94
424,2015-07-29,36,36,22,72
425,2015-07-06,58,52,10,110
426,2015-07-30,271,145,7,416
427,2015-07-13,102,55,6,157
428,2015-07-26,35,46,18,81
429,2015-07-14,56,57,21,113
431,2015-07-26,109,63,14,172
433,2015-07-28,45,54,12,99
434,2015-07-13,5,1,4,6
435,2015-07-31,62,62,10,124
436,2015-07-18,1,10,4,11
437,2015-07-06,4,3,1,7
438,2015-07-13,139,106,9,245
439,2015-07-24,68,94,15,162
441,2015-07-02,75,51,10,126
442,2015-07-28,31,44,22,75
443,2015-07-09,129,221,16,350
444,2015-07-28,184,122,9,306
445,2015-07-20,383,180,8,563
446,2015-07-30,107,59,6,166
447,2015-07-14,20,14,23,34
448,2015-07-25,31,31,20,62
449,2015-07-29,2,1,3,3
450,2015-07-13,4,7,0,11
451,2015-07-25,29,25,9,54
452,2015-07-16,172,103,9,275
453,2015-07-06,368,167,8,535
454,2015-07-23,44,56,12,100
455,2015-07-23,95,103,15,198
456,2015-07-31,4,5,4,9
457,2015-07-15,48,75,14,123
458,2015-07-18,89,87,14,176
459,2015-07-24,1,2,3,3
460,2015-07-05,82,71,13,153
461,2015-07-20,6,3,4,9
462,2015-07-24,66,43,10,109
463,2015-07-18,12,17,6,29
464,2015-07-01,2,7,2,9
465,2015-07-31,2,0,3,2
466,2015-07-22,189,138,9,327
467,2015-07-28,6,7,0,13
468,2015-07-26,71,76,11,147
469,2015-07-20,93,163,19,256
470,2015-07-05,64,69,10,133
471,2015-07-07,3,4,3,7
472,2015-07-03,40,44,20,84
473,2015-07-15,27,23,5,50
474,2015-07-01,57,48,13,105
475,2015-07-13,35,25,22,60
476,2015-07-03,35,34,22,69
477,2015-07-13,182,452,17,634
478,2015-07-12,6,7,6,13
480,2015-07-19,8,22,0,30
481,2015-07-11,15,36,4,51
482,2015-07-22,38,60,21,98
483,2015-07-29,1,4,2,5
484,2015-07-25,54,34,18,88
485,2015-07-11,81,63,17,144
486,2015-07-19,80,60,15,140
487,2015-07-15,4,2,3,6
488,2015-07-29,76,76,15,152
489,2015-07-27,4,6,0,10
490,2015-07-21,4,5,4,9
491,2015-07-29,96,181,19,277
492,2015-07-22,81,111,15,192
493,2015-07-19,6,0,3,6
494,2015-07-21,1,4,3,5
